team_id,player_id,Aiming,Contact,Cunning,Determination,Discipline,Insight,Intimidation,Lift,Muscle,Selflessness,Vision,Wisdom,Accuracy,Control,Defiance,Guts,Persuasion,Presence,Rotation,Stamina,Stuff,Velocity,Greed,Performance,Speed,Stealth,Acrobatics,Agility,Arm,Awareness,Composure,Dexterity,Luck,Patience,Reaction
6805db0dac48194de3cd4160,6805db0dac48194de3cd4161,2.0,0.0,3.0,1.0,0.0,3.0,1.0,1.0,3.0,4.0,2.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6805db0dac48194de3cd4160,6805db0dac48194de3cd4162,4.0,0.0,2.0,1.0,2.0,3.0,4.0,1.0,0.0,0.0,3.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6805db0dac48194de3cd4160,6805db0dac48194de3cd4163,4.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,0.0,2.0,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6805db0dac48194de3cd4160,6805db0dac48194de3cd4164,2.0,3.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6805db0dac48194de3cd4160,6805db0dac48194de3cd4165,4.0,2.0,4.0,1.0,4.0,0.0,3.0,2.0,3.0,3.0,1.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6805db0dac48194de3cd4160,6805db0dac48194de3cd4166,1.0,1.0,2.0,3.0,3.0,1.0,3.0,3.0,0.0,4.0,3.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6805db0dac48194de3cd4160,6805db0dac48194de3cd4167,2.0,4.0,2.0,3.0,3.0,2.0,2.0,0.0,2.0,1.0,3.0,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6805db0dac48194de3cd4160,6805db0dac48194de3cd4168,1.0,1.0,3.0,4.0,0.0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6805db0dac48194de3cd4160,6805db0dac48194de3cd4169,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6805db0dac48194de3cd4160,6805db0dac48194de3cd416a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,2.0,2.0,5.0,2.0,3.0,1.0,4.0,2.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6805db0dac48194de3cd4160,6805db0dac48194de3cd416b,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,2.0,2.0,0.0,2.0,2.0,1.0,3.0,3.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6805db0dac48194de3cd4160,6805db0dac48194de3cd416c,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,1.0,4.0,0.0,3.0,4.0,2.0,3.0,2.0,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6805db0dac48194de3cd4160,6805db0dac48194de3cd416d,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,0.0,4.0,1.0,1.0,3.0,0.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6805db0dac48194de3cd4160,6805db0dac48194de3cd416e,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,4.0,2.0,2.0,1.0,1.0,1.0,0.0,3.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6805db0dac48194de3cd4160,6805db0dac48194de3cd416f,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
